ValidAphiaID,valid_name,valid_authority,kingdom,phylum,CLASS,order,family,genus,rank,FRS_Common Name,LmaxFB,Lmin,LWRa,LWRb,LWRSource
274299,Microchirus azevia,"(de Brito Capello, 1867)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Microchirus,Species,Sole,40,1.24,0.01,3.07,FishBase
274300,Microchirus boscanion,"(Chabanaud, 1926)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Microchirus,Species,Lusitanian sole,20,1.11,0.0112,3.03,FishBase
274302,Microchirus ocellatus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Microchirus,Species,Foureyed sole,20,1.11,0.018,2.9,FishBase
274304,Microchirus variegatus,"(Donovan, 1808)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Microchirus,Species,Thickback sole,35,1.5,0.0074,3.12,FishBase
126439,Micromesistius poutassou,"(Risso, 1827)",Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Micromesistius,Species,Blue whiting,50,1.8,0.0041,3.15,FishBase
127140,Microstomus kitt,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,Species,Lemon sole,65,1.9,0.0083,3.08,FishBase
127405,Mola mola,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Tetraodontiformes,Molidae,Mola,Species,Ocean sunfish,333,3.88,0.0454,3.05,FishBase
126459,Molva dypterygia,"(Pennant, 1784)",Animalia,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Species,Blue ling,155,2.6,0.00191,3.149,FishBase
126460,Molva macrophthalma,"(Rafinesque, 1810)",Animalia,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Species,Spanish ling,108,2.65,0.0009,3.24,FishBase
126461,Molva molva,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Species,Ling,200,2.2,0.004,3.07,FishBase
127155,Monochirus hispidus,"Rafinesque, 1814",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Monochirus,Species,Whiskered sole,20,1.07,0.01439,3.16,FishBase
275922,Monolene microstoma,"Cadenat, 1937",Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Monolene,Species,Smallmouth moonflounder,20.1,2.1,0.00759,3.09,FB_Baysian_(Sub)family-body shape
126497,Mora moro,"(Risso, 1810)",Animalia,Chordata,Actinopteri,Gadiformes,Moridae,Mora,Species,Mora,80,2.54,0.0044,3.22,FishBase
125474,Moridae,"Moreau, 1881",Animalia,Chordata,Actinopteri,Gadiformes,Moridae,0,Family,NA,90,0,0.00326975,3.149,Mean_Species
126983,Mugil cephalus,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Perciformes,Mugilidae,Mugil,Species,Flathead (grey) mullet,100,2.09,0.0148,2.95,FishBase
125546,Mugilidae,"Jarocki, 1822",Animalia,Chordata,Actinopteri,Perciformes,Mugilidae,0,Family,NA,100,0,0.010958288,2.995,Mean_Species
